ExternalDataReferences,StudyDay,UniqueID,UniqueID2,T1_IPAddress,T1_StartDate,T1_EndDate,Now_Temparture,Now_Humidity,Now_Precipitation,Now_Precipitation,Now_Wind Speed,Now_Visibility,Now_Events,Now_Conditions,Now_Conditions,T2_IPAddress,T2_StartDate,T2_EndDate,Now_Temparture,Now_Humidity,Now_Precipitation,Now_Precipitation,Now_Wind Speed,Now_Visibility,Now_Events,Now_Conditions,Now_Conditions,,,Day_Temparture,Max_Temparture,Min_Temparture,Day_Humidity,Max_Humidity,Min_Humidity,Max_Precipitation,Min_Precipitation,Day_Snow,Max_Snow,Min_Snow,Snow Depth,Day_Wind Speed,Day_Visibility,Day_Events,Length of Visible Light
7000,3,70003,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
7000,4,70004,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
7000,5,70005,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
7000,6,70006,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
7000,7,70007,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
7000,8,70008,#NULL!,,#NULL!,#NULL!,,,,,,,,,,136.181.195.255,4/11/16 15:32,4/11/16 15:42,,,,,,,,,,,,,,,,,,,,,,,,,,,
7000,9,70009,70007,136.181.195.36,4/12/16 10:38,4/12/16 10:44,,,,,,,,,,136.181.195.255,4/12/16 17:07,4/12/16 17:12,,,,,,,,,,,,,,,,,,,,,,,,,,,
8000,1,80001,80001,64.215.188.150,4/4/16 9:13,4/4/16 9:18,,,,,,,,,,98.209.0.129,4/4/16 19:31,4/4/16 19:45,,,,,,,,,,,,,,,,,,,,,,,,,,,
8000,2,80002,80002,64.215.188.150,4/5/16 9:33,4/5/16 9:38,,,,,,,,,,98.209.0.129,4/5/16 20:05,4/5/16 20:11,,,,,,,,,,,,,,,,,,,,,,,,,,,
8000,3,80003,80003,64.215.188.150,4/6/16 9:05,4/6/16 9:07,,,,,,,,,,98.209.0.129,4/6/16 21:38,4/6/16 21:43,,,,,,,,,,,,,,,,,,,,,,,,,,,
8000,4,80004,80004,64.215.188.150,4/7/16 9:16,4/7/16 9:19,,,,,,,,,,98.209.0.129,4/7/16 18:41,4/7/16 18:48,,,,,,,,,,,,,,,,,,,,,,,,,,,
8000,5,80005,#NULL!,,#NULL!,#NULL!,,,,,,,,,,98.209.0.129,4/8/16 19:27,4/8/16 19:32,,,,,,,,,,,,,,,,,,,,,,,,,,,
8000,6,80006,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
8000,7,80007,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
8000,8,80008,80006,64.215.188.150,4/11/16 10:11,4/11/16 10:14,,,,,,,,,,98.209.0.129,4/11/16 19:28,4/11/16 19:36,,,,,,,,,,,,,,,,,,,,,,,,,,,
8000,9,80009,80007,64.215.188.150,4/12/16 11:00,4/12/16 11:02,,,,,,,,,,98.209.0.129,4/12/16 19:34,4/12/16 19:38,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000,1,100001,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000,2,100002,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000,3,100003,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000,4,100004,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000,5,100005,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000,6,100006,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000,7,100007,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000,8,100008,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000,9,100009,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
12000,1,120001,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
12000,2,120002,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
12000,3,120003,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
12000,4,120004,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
12000,5,120005,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
12000,6,120006,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
12000,7,120007,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
12000,8,120008,#NULL!,,#NULL!,#NULL!,,,,,,,,,,66.87.114.220,4/11/16 15:32,4/11/16 15:52,,,,,,,,,,,,,,,,,,,,,,,,,,,
12000,9,120009,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
13000,1,130001,130001,155.139.32.71,4/4/16 9:26,4/4/16 9:29,,,,,,,,,,155.139.32.10,4/4/16 15:07,4/4/16 15:14,,,,,,,,,,,,,,,,,,,,,,,,,,,
13000,2,130002,130002,155.139.32.40,4/5/16 8:03,4/5/16 8:06,,,,,,,,,,155.139.32.10,4/5/16 14:39,4/5/16 14:43,,,,,,,,,,,,,,,,,,,,,,,,,,,
13000,3,130003,130003,155.139.32.10,4/6/16 8:02,4/6/16 8:04,,,,,,,,,,155.139.32.71,4/6/16 15:03,4/6/16 15:09,,,,,,,,,,,,,,,,,,,,,,,,,,,
13000,4,130004,130004,155.139.32.40,4/7/16 8:31,4/7/16 8:33,,,,,,,,,,155.139.32.71,4/7/16 15:31,4/7/16 15:34,,,,,,,,,,,,,,,,,,,,,,,,,,,
13000,5,130005,130005,155.139.32.10,4/8/16 7:34,4/8/16 7:36,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
13000,6,130006,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
13000,7,130007,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
13000,8,130008,130006,155.139.32.10,4/11/16 8:06,4/11/16 8:09,,,,,,,,,,155.139.32.71,4/11/16 14:51,4/11/16 14:56,,,,,,,,,,,,,,,,,,,,,,,,,,,
13000,9,130009,130007,155.139.32.71,4/12/16 8:47,4/12/16 8:49,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
14000,1,140001,140001,12.150.27.130,4/4/16 7:35,4/4/16 7:42,,,,,,,,,,12.150.27.130,4/4/16 16:03,4/4/16 16:10,,,,,,,,,,,,,,,,,,,,,,,,,,,
14000,2,140002,140002,12.150.27.130,4/5/16 8:06,4/5/16 8:15,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
14000,3,140003,140003,12.150.27.130,4/6/16 6:43,4/6/16 10:36,,,,,,,,,,166.175.62.178,4/6/16 16:55,4/6/16 17:08,,,,,,,,,,,,,,,,,,,,,,,,,,,
14000,4,140004,140004,12.150.27.130,4/7/16 8:55,4/7/16 9:09,,,,,,,,,,12.150.27.130,4/7/16 16:47,4/7/16 16:52,,,,,,,,,,,,,,,,,,,,,,,,,,,
14000,5,140005,140005,12.150.27.130,4/8/16 9:27,4/8/16 9:30,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
14000,6,140006,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
14000,7,140007,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
14000,8,140008,140006,12.150.27.130,4/11/16 8:00,4/11/16 8:04,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
14000,9,140009,140007,69.14.38.251,4/12/16 7:05,4/12/16 7:12,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
15000,1,150001,150001,50.204.135.70,4/4/16 10:12,4/4/16 10:16,,,,,,,,,,50.204.135.70,4/4/16 17:01,4/4/16 17:43,,,,,,,,,,,,,,,,,,,,,,,,,,,
15000,2,150002,150002,50.204.135.70,4/5/16 7:51,4/5/16 7:54,,,,,,,,,,50.204.135.70,4/5/16 16:47,4/5/16 16:54,,,,,,,,,,,,,,,,,,,,,,,,,,,
15000,3,150003,150003,50.204.135.70,4/6/16 8:06,4/6/16 8:08,,,,,,,,,,50.204.135.70,4/6/16 16:53,4/6/16 17:05,,,,,,,,,,,,,,,,,,,,,,,,,,,
15000,4,150004,150004,50.204.135.70,4/7/16 8:23,4/7/16 8:45,,,,,,,,,,50.204.135.70,4/7/16 17:20,4/7/16 17:24,,,,,,,,,,,,,,,,,,,,,,,,,,,
15000,5,150005,150005,50.204.135.70,4/8/16 8:12,4/8/16 8:14,,,,,,,,,,50.204.135.70,4/8/16 17:05,4/8/16 17:08,,,,,,,,,,,,,,,,,,,,,,,,,,,
15000,6,150006,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
15000,7,150007,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
15000,8,150008,150006,50.204.135.70,4/11/16 9:37,4/11/16 9:39,,,,,,,,,,50.204.135.70,4/11/16 16:53,4/11/16 16:56,,,,,,,,,,,,,,,,,,,,,,,,,,,
15000,9,150009,150007,50.204.135.70,4/12/16 7:47,4/12/16 7:48,,,,,,,,,,50.204.135.70,4/12/16 17:05,4/12/16 17:08,,,,,,,,,,,,,,,,,,,,,,,,,,,
16000,1,160001,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
16000,2,160002,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
16000,3,160003,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
16000,4,160004,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
16000,5,160005,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
16000,6,160006,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
16000,7,160007,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
16000,8,160008,160006,136.2.1.113,4/11/16 8:04,4/11/16 8:08,,,,,,,,,,70.210.79.196,4/11/16 18:02,4/11/16 18:10,,,,,,,,,,,,,,,,,,,,,,,,,,,
16000,9,160009,160007,136.2.1.113,4/12/16 6:53,4/12/16 6:57,,,,,,,,,,136.2.1.113,4/12/16 17:30,4/12/16 17:48,,,,,,,,,,,,,,,,,,,,,,,,,,,
18000,1,180001,180001,68.56.107.122,4/4/16 8:54,4/4/16 9:00,,,,,,,,,,68.56.107.122,4/4/16 16:06,4/4/16 16:17,,,,,,,,,,,,,,,,,,,,,,,,,,,
18000,2,180002,180002,107.92.121.79,4/5/16 9:44,4/5/16 9:48,,,,,,,,,,75.144.94.54,4/5/16 13:14,4/5/16 13:19,,,,,,,,,,,,,,,,,,,,,,,,,,,
18000,3,180003,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
18000,4,180004,180004,68.56.107.122,4/7/16 8:44,4/7/16 9:04,,,,,,,,,,68.56.107.122,4/7/16 14:35,4/7/16 14:40,,,,,,,,,,,,,,,,,,,,,,,,,,,
18000,5,180005,180005,68.56.107.122,4/8/16 8:42,4/8/16 8:44,,,,,,,,,,75.144.94.54,4/8/16 12:56,4/8/16 12:59,,,,,,,,,,,,,,,,,,,,,,,,,,,
18000,6,180006,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
18000,7,180007,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
18000,8,180008,180006,75.144.94.54,4/11/16 9:21,4/11/16 9:23,,,,,,,,,,75.144.94.54,4/11/16 13:01,4/11/16 13:03,,,,,,,,,,,,,,,,,,,,,,,,,,,
18000,9,180009,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
19000,1,190001,190001,198.203.181.181,4/4/16 9:06,4/4/16 9:10,,,,,,,,,,198.203.181.181,4/4/16 16:04,4/4/16 16:12,,,,,,,,,,,,,,,,,,,,,,,,,,,
19000,2,190002,190002,198.203.177.177,4/5/16 8:02,4/5/16 8:13,,,,,,,,,,198.203.175.175,4/5/16 15:34,4/5/16 15:39,,,,,,,,,,,,,,,,,,,,,,,,,,,
19000,3,190003,190003,198.203.177.177,4/6/16 8:11,4/6/16 8:15,,,,,,,,,,198.203.177.177,4/6/16 17:23,4/6/16 17:28,,,,,,,,,,,,,,,,,,,,,,,,,,,
19000,4,190004,190004,198.203.181.181,4/7/16 8:08,4/7/16 8:10,,,,,,,,,,198.203.181.181,4/7/16 16:19,4/7/16 16:24,,,,,,,,,,,,,,,,,,,,,,,,,,,
19000,5,190005,190005,198.203.181.181,4/8/16 8:01,4/8/16 8:04,,,,,,,,,,198.203.175.175,4/8/16 17:36,4/8/16 17:45,,,,,,,,,,,,,,,,,,,,,,,,,,,
19000,6,190006,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
19000,7,190007,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
19000,8,190008,190006,198.203.181.181,4/11/16 11:07,4/11/16 11:09,,,,,,,,,,198.203.177.177,4/11/16 17:18,4/11/16 17:21,,,,,,,,,,,,,,,,,,,,,,,,,,,
19000,9,190009,190007,198.203.175.175,4/12/16 9:54,4/12/16 9:56,,,,,,,,,,198.203.181.181,4/12/16 16:33,4/12/16 16:36,,,,,,,,,,,,,,,,,,,,,,,,,,,
20000,1,200001,200001,208.163.153.51,4/4/16 8:14,4/4/16 8:20,,,,,,,,,,166.173.248.37,4/4/16 16:20,4/4/16 16:26,,,,,,,,,,,,,,,,,,,,,,,,,,,
20000,2,200002,200002,208.163.153.51,4/5/16 8:29,4/5/16 8:32,,,,,,,,,,166.173.248.37,4/5/16 17:57,4/5/16 18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
20000,3,200003,200003,208.163.153.51,4/6/16 8:13,4/6/16 8:16,,,,,,,,,,166.173.248.37,4/6/16 16:38,4/6/16 16:43,,,,,,,,,,,,,,,,,,,,,,,,,,,
20000,4,200004,200004,166.173.248.37,4/7/16 7:31,4/7/16 7:34,,,,,,,,,,107.92.61.64,4/7/16 16:41,4/7/16 16:46,,,,,,,,,,,,,,,,,,,,,,,,,,,
20000,5,200005,200005,208.163.153.51,4/8/16 8:12,4/8/16 8:15,,,,,,,,,,107.92.61.64,4/8/16 16:11,4/8/16 16:13,,,,,,,,,,,,,,,,,,,,,,,,,,,
20000,6,200006,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
20000,7,200007,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
20000,8,200008,200006,166.216.159.9,4/11/16 8:32,4/11/16 8:35,,,,,,,,,,68.40.77.196,4/11/16 17:27,4/11/16 17:32,,,,,,,,,,,,,,,,,,,,,,,,,,,
20000,9,200009,200007,166.216.159.9,4/12/16 10:01,4/12/16 10:02,,,,,,,,,,68.40.77.196,4/12/16 16:33,4/12/16 16:36,,,,,,,,,,,,,,,,,,,,,,,,,,,
21000,1,210001,210001,70.194.10.154,4/4/16 10:11,4/4/16 10:13,,,,,,,,,,68.56.114.166,4/4/16 16:37,4/4/16 16:41,,,,,,,,,,,,,,,,,,,,,,,,,,,
21000,2,210002,210002,50.153.214.152,4/5/16 9:27,4/5/16 9:32,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
21000,3,210003,210003,35.10.214.157,4/6/16 10:06,4/6/16 10:08,,,,,,,,,,68.56.114.166,4/6/16 17:06,4/6/16 17:12,,,,,,,,,,,,,,,,,,,,,,,,,,,
21000,4,210004,210004,70.210.70.113,4/7/16 9:10,4/7/16 9:13,,,,,,,,,,70.210.76.24,4/7/16 18:37,4/7/16 18:41,,,,,,,,,,,,,,,,,,,,,,,,,,,
21000,5,210005,210005,68.56.114.166,4/8/16 11:38,4/8/16 11:52,,,,,,,,,,68.56.114.166,4/8/16 16:45,4/8/16 16:49,,,,,,,,,,,,,,,,,,,,,,,,,,,
21000,6,210006,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
21000,7,210007,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
21000,8,210008,210006,35.22.214.214,4/11/16 11:52,4/11/16 11:55,,,,,,,,,,35.20.226.148,4/11/16 16:32,4/11/16 16:34,,,,,,,,,,,,,,,,,,,,,,,,,,,
21000,9,210009,210007,35.8.184.115,4/12/16 10:24,4/12/16 10:25,,,,,,,,,,70.194.15.151,4/12/16 18:03,4/12/16 18:08,,,,,,,,,,,,,,,,,,,,,,,,,,,
22000,1,220001,220001,70.34.174.68,4/4/16 10:20,4/4/16 10:23,,,,,,,,,,70.34.174.68,4/4/16 17:22,4/4/16 17:27,,,,,,,,,,,,,,,,,,,,,,,,,,,
22000,2,220002,220002,70.34.174.68,4/5/16 8:29,4/5/16 8:31,,,,,,,,,,70.34.174.68,4/5/16 16:16,4/5/16 16:21,,,,,,,,,,,,,,,,,,,,,,,,,,,
22000,3,220003,220003,67.149.92.75,4/6/16 7:41,4/6/16 7:44,,,,,,,,,,70.34.174.68,4/6/16 16:14,4/6/16 16:26,,,,,,,,,,,,,,,,,,,,,,,,,,,
22000,4,220004,220004,70.34.174.68,4/7/16 8:50,4/7/16 8:52,,,,,,,,,,70.34.174.68,4/7/16 16:30,4/7/16 16:35,,,,,,,,,,,,,,,,,,,,,,,,,,,
22000,5,220005,220005,70.34.174.68,4/8/16 8:56,4/8/16 8:58,,,,,,,,,,67.149.92.75,4/8/16 17:12,4/8/16 17:18,,,,,,,,,,,,,,,,,,,,,,,,,,,
22000,6,220006,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
22000,7,220007,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
22000,8,220008,220006,70.34.174.68,4/11/16 9:13,4/11/16 9:15,,,,,,,,,,70.34.174.68,4/11/16 16:35,4/11/16 16:38,,,,,,,,,,,,,,,,,,,,,,,,,,,
22000,9,220009,220007,70.34.174.68,4/12/16 7:59,4/12/16 8:01,,,,,,,,,,70.194.1.42,4/12/16 18:49,4/12/16 19:10,,,,,,,,,,,,,,,,,,,,,,,,,,,
23000,1,230001,230001,68.61.186.247,4/4/16 7:57,4/4/16 8:00,,,,,,,,,,68.61.186.247,4/4/16 16:18,4/4/16 16:24,,,,,,,,,,,,,,,,,,,,,,,,,,,
23000,2,230002,230002,70.194.5.217,4/5/16 7:37,4/5/16 7:41,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
23000,3,230003,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
23000,4,230004,230004,68.61.186.247,4/7/16 7:39,4/7/16 7:42,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
23000,5,230005,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
23000,6,230006,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
23000,7,230007,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
23000,8,230008,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
23000,9,230009,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
24000,1,240001,240001,70.194.10.20,4/4/16 8:58,4/4/16 9:02,,,,,,,,,,96.91.168.85,4/4/16 14:39,4/4/16 14:58,,,,,,,,,,,,,,,,,,,,,,,,,,,
24000,2,240002,240002,96.91.168.85,4/5/16 9:04,4/5/16 9:06,,,,,,,,,,96.91.168.85,4/5/16 15:11,4/5/16 15:14,,,,,,,,,,,,,,,,,,,,,,,,,,,
24000,3,240003,240003,96.91.168.85,4/6/16 8:57,4/6/16 8:58,,,,,,,,,,96.91.168.85,4/6/16 14:41,4/6/16 14:44,,,,,,,,,,,,,,,,,,,,,,,,,,,
24000,4,240004,240004,70.210.66.62,4/7/16 9:13,4/7/16 9:15,,,,,,,,,,96.91.168.85,4/7/16 14:59,4/7/16 15:02,,,,,,,,,,,,,,,,,,,,,,,,,,,
24000,5,240005,240005,96.91.168.85,4/8/16 9:31,4/8/16 9:34,,,,,,,,,,70.194.0.55,4/8/16 14:39,4/8/16 14:42,,,,,,,,,,,,,,,,,,,,,,,,,,,
24000,6,240006,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
24000,7,240007,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
24000,8,240008,240006,68.34.255.213,4/11/16 9:26,4/11/16 9:28,,,,,,,,,,96.91.168.85,4/11/16 14:38,4/11/16 14:44,,,,,,,,,,,,,,,,,,,,,,,,,,,
24000,9,240009,240007,70.210.66.201,4/12/16 9:35,4/12/16 9:38,,,,,,,,,,96.91.168.85,4/12/16 14:43,4/12/16 14:48,,,,,,,,,,,,,,,,,,,,,,,,,,,
25000,1,250001,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
25000,2,250002,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
25000,3,250003,#NULL!,,#NULL!,#NULL!,,,,,,,,,,,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,
